,Movie,Tomatometer,IMDB score
0,The Shawshank Redemption (1994),91%,9.3
1,The Godfather (1972),97%,9.2
2,The Dark Knight (2008),94%,9.0
3,The Godfather: Part II (1974),96%,9.0
4,12 Angry Men (1957),100%,9.0
5,The Lord of the Rings: The Return of the King (2003),93%,8.9
6,Pulp Fiction (1994),92%,8.9
7,Schindler's List (1993),98%,8.9
8,Inception (2010),87%,8.8
9,Fight Club (1999),79%,8.8
10,The Lord of the Rings: The Fellowship of the Ring (2001),91%,8.8
11,Forrest Gump (1994),71%,8.8
12,"The Good, the Bad and the Ugly (1966)",97%,8.8
13,The Lord of the Rings: The Two Towers (2002),95%,8.7
14,The Matrix (1999),88%,8.7
15,Goodfellas (1990),96%,8.7
16,Star Wars: Episode V - The Empire Strikes Back (1980),94%,8.7
17,One Flew Over the Cuckoo's Nest (1975),94%,8.7
18,Parasite (2019),98%,8.6
19,Interstellar (2014),72%,8.6
20,City of God (2002),91%,8.6
21,Spirited Away (2001),97%,8.6
22,Saving Private Ryan (1998),93%,8.6
23,The Green Mile (1999),78%,8.6
24,Life Is Beautiful (1997),80%,8.6
25,Se7en (1995),81%,8.6
26,The Silence of the Lambs (1991),96%,8.6
27,Star Wars: Episode IV - A New Hope (1977),92%,8.6
28,Hara-Kiri (1962),100%,8.6
29,Pather Panchali (1955),97%,8.6
30,Seven Samurai (1954),100%,8.6
31,It's a Wonderful Life (1946),94%,8.6
32,Whiplash (2014),94%,8.5
33,The Intouchables (2011),75%,8.5
34,The Prestige (2006),76%,8.5
35,The Departed (2006),90%,8.5
36,The Pianist (2002),95%,8.5
37,Gladiator (2000),77%,8.5
38,American History X (1998),83%,8.5
39,The Usual Suspects (1995),89%,8.5
40,Léon: The Professional (1994),74%,8.5
41,The Lion King (1994),93%,8.5
42,Terminator 2: Judgment Day (1991),93%,8.5
43,Cinema Paradiso (1988),90%,8.5
44,Grave of the Fireflies (1988),100%,8.5
45,Back to the Future (1985),96%,8.5
46,Once Upon a Time in the West (1968),95%,8.5
47,Psycho (1960),96%,8.5
48,Rear Window (1954),98%,8.5
49,Casablanca (1942),99%,8.5
50,Modern Times (1936),98%,8.5
51,City Lights (1931),98%,8.5
52,Hamilton (2020),97%,8.4
53,Capernaum (2018),90%,8.4
54,Joker (2019),68%,8.4
55,Your Name. (2016),98%,8.4
56,Spider-Man: Into the Spider-Verse (2018),97%,8.4
57,Avengers: Endgame (2019),94%,8.4
58,Avengers: Infinity War (2018),85%,8.4
59,Coco (I)  (2017),97%,8.4
60,Django Unchained (2012),87%,8.4
61,The Dark Knight Rises (2012),87%,8.4
62,3 Idiots (2009),100%,8.4
63,Like Stars on Earth (2007),91%,8.4
64,WALL·E (2008),95%,8.4
65,The Lives of Others (2006),92%,8.4
66,Oldboy (2003),81%,8.4
67,Memento (2000),93%,8.4
68,Princess Mononoke (1997),93%,8.4
69,Once Upon a Time in America (1984),87%,8.4
70,Indiana Jones and the Raiders of the Lost Ark (1981),95%,8.4
71,The Shining (1980),84%,8.4
72,Apocalypse Now (1979),98%,8.4
73,Alien (1979),98%,8.4
74,High and Low (1963),95%,8.4
75,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),98%,8.4
76,Witness for the Prosecution (1957),100%,8.4
77,Paths of Glory (1957),95%,8.4
78,Sunset Blvd. (1950),99%,8.4
79,The Great Dictator (1940),93%,8.4
80,The Hunt (2012),93%,8.3
81,Inglourious Basterds (2009),89%,8.3
82,Eternal Sunshine of the Spotless Mind (2004),92%,8.3
83,Requiem for a Dream (2000),79%,8.3
84,American Beauty (1999),87%,8.3
85,Good Will Hunting (1997),98%,8.3
86,Toy Story (1995),100%,8.3
87,Braveheart (1995),78%,8.3
88,Reservoir Dogs (1992),92%,8.3
89,Come and See (1985),97%,8.3
90,Aliens (1986),97%,8.3
91,Amadeus (1984),93%,8.3
92,Star Wars: Episode VI - Return of the Jedi (1983),82%,8.3
93,Das Boot (1981),98%,8.3
94,2001: A Space Odyssey (1968),92%,8.3
95,North by Northwest (1959),97%,8.3
96,Vertigo (1958),94%,8.3
97,Singin' in the Rain (1952),100%,8.3
98,Citizen Kane (1941),99%,8.3
99,M (1931),100%,8.3
100,It Happened One Night (1934),99%,8.1
101,Black Panther (2018),96%,7.3
102,The Wizard of Oz (1939),99%,8.0
103,Parasite (Gisaengchung) (2019),98%,8.6
104,Knives Out (2019),97%,7.9
105,Us (2019),93%,6.8
106,Toy Story 4 (2019),97%,7.7
107,Lady Bird (2017),99%,7.4
108,Mission: Impossible - Fallout (2018),97%,7.7
109,BlacKkKlansman (2018),96%,7.5
110,Get Out (2017),98%,7.7
111,The Irishman (2019),95%,7.8
112,Mad Max: Fury Road (2015),97%,8.1
113,All About Eve (1950),99%,8.2
114,The Philadelphia Story (1940),100%,7.9
115,Moonlight (2016),98%,7.4
116,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),99%,8.1
117,Wonder Woman (2017),93%,7.4
118,A Star Is Born (2018),90%,7.6
119,Rebecca (1940),100%,8.1
120,Inside Out (2015),98%,8.1
121,A Quiet Place (2018),96%,7.5
122,Eighth Grade (2018),99%,7.4
123,Roma (2018),95%,7.7
124,Booksmart (2019),96%,7.2
125,Dunkirk (2017),92%,7.8
126,Coco (2017),97%,8.4
127,A Night at the Opera (1935),97%,7.9
128,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),98%,8.1
129,Selma (2014),99%,7.5
130,The Shape of Water (2017),92%,7.3
131,The Farewell (2019),97%,7.6
132,Thor: Ragnarok (2017),93%,7.9
133,Spotlight (2015),97%,8.1
134,Seven Samurai (Shichinin no Samurai) (1956),100%,8.6
135,The Third Man (1949),99%,8.1
136,La Grande illusion (Grand Illusion) (1938),97%,8.1
137,Arrival (2016),94%,7.9
138,The Favourite (2018),93%,7.5
139,An American in Paris (1951),96%,7.2
140,All Quiet on the Western Front (1930),98%,8.1
141,Logan (2017),93%,8.1
142,Snow White and the Seven Dwarfs (1937),98%,7.6
143,Double Indemnity (1944),97%,8.3
144,Marriage Story (2019),94%,7.9
145,E.T. The Extra-Terrestrial (1982),98%,7.8
146,The Big Sick (2017),98%,7.5
147,Star Wars: The Last Jedi (2017),90%,7.0
148,On the Waterfront (1954),99%,8.1
149,Star Wars: Episode VII - The Force Awakens (2015),93%,7.8
150,Boyhood (2014),97%,7.9
151,The Best Years of Our Lives (1946),98%,8.1
152,The Adventures of Robin Hood (1938),100%,7.9
153,12 Years a Slave (2013),95%,8.1
154,Manchester by the Sea (2016),96%,7.8
155,Argo (2012),96%,7.7
156,Once Upon a Time In Hollywood (2019),85%,7.6
157,Leave No Trace (2018),100%,7.2
158,The Kid (1921),100%,8.3
159,La La Land (2016),91%,8.0
160,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",97%,7.9
161,King Kong (1933),98%,7.9
162,Spider-Man: Far From Home (2019),90%,7.5
163,Incredibles 2 (2018),93%,7.6
164,Zootopia (2016),98%,8.0
165,Laura (1944),100%,8.0
166,Call Me by Your Name (2018),94%,7.9
167,Shadow of a Doubt (1943),100%,7.8
168,War for the Planet of the Apes (2017),94%,7.4
169,Paddington 2 (2018),99%,7.8
170,Gravity (2013),95%,7.7
171,The Maltese Falcon (1941),100%,8.0
172,The Florida Project (2017),96%,7.6
173,Sunset Boulevard (1950),99%,8.4
174,1917 (2020),89%,8.3
175,Widows (2018),91%,6.9
176,A Hard Day's Night (1964),98%,7.6
177,The Invisible Man (2020),91%,7.1
178,"The Godfather, Part II (1974)",96%,9.0
179,The Battle of Algiers (La Battaglia di Algeri) (1967),99%,8.1
180,Baby Driver (2017),92%,7.6
181,Spider-Man: Homecoming (2017),92%,7.4
182,Top Hat (1935),100%,7.8
183,Never Rarely Sometimes Always (2020),99%,7.4
184,Pain and Glory (Dolor y gloria) (2019),96%,7.5
185,Shoplifters (Manbiki kazoku) (2018),99%,7.9
186,Metropolis (1927),97%,8.3
