Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt9253866,4/19/2019,4/19/2019,,Our Planet,https://www.imdb.com/title/tt9253866/,tvMiniSeries,9.3,403,2019,Documentary,35444,4/5/2019,
2,tt8420184,5/8/2021,5/8/2021,,The Last Dance,https://www.imdb.com/title/tt8420184/,tvMiniSeries,9.1,491,2020,"Documentary, Biography, History, Sport",89201,4/19/2020,
3,tt7137906,1/12/2020,1/12/2020,,When They See Us,https://www.imdb.com/title/tt7137906/,tvMiniSeries,8.9,296,2019,"Biography, Crime, Drama, History",99047,5/31/2019,
4,tt2085059,9/19/2016,9/19/2016,,Black Mirror,https://www.imdb.com/title/tt2085059/,tvSeries,8.8,60,2011,"Drama, Sci-Fi, Thriller",460779,12/4/2011,
5,tt2707408,9/19/2016,9/19/2016,,Narcos,https://www.imdb.com/title/tt2707408/,tvSeries,8.8,49,2015,"Biography, Crime, Drama, Thriller",369470,8/28/2015,
6,tt5753856,12/9/2017,12/9/2017,,Dark,https://www.imdb.com/title/tt5753856/,tvSeries,8.8,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",303009,9/9/2017,
7,tt4574334,9/19/2016,9/19/2016,,Stranger Things,https://www.imdb.com/title/tt4574334/,tvSeries,8.7,51,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",859722,7/11/2016,
8,tt1856010,9/19/2016,9/19/2016,,House of Cards,https://www.imdb.com/title/tt1856010/,tvSeries,8.7,51,2013,Drama,473024,2/1/2013,
9,tt0367279,9/19/2016,9/19/2016,,Arrested Development,https://www.imdb.com/title/tt0367279/,tvSeries,8.7,22,2003,Comedy,281309,11/2/2003,
10,tt4786824,12/30/2016,12/30/2016,,The Crown,https://www.imdb.com/title/tt4786824/,tvSeries,8.6,58,2016,"Biography, Drama, History",165233,11/1/2016,
11,tt3398228,9/19/2016,9/19/2016,,BoJack Horseman,https://www.imdb.com/title/tt3398228/,tvSeries,8.7,25,2014,"Animation, Comedy, Drama",119977,8/22/2014,
12,tt5421602,6/18/2017,6/18/2017,,Anne,https://www.imdb.com/title/tt5421602/,tvSeries,8.7,60,2017,"Drama, Family",41557,3/19/2017,
13,tt8289930,1/12/2020,1/12/2020,,Formula 1: Drive to Survive,https://www.imdb.com/title/tt8289930/,tvSeries,8.6,40,2019,"Documentary, Sport",24755,3/8/2019,
